DATE,OPEN,HIGH,LOW,PREV. CLOSE,CLOSE,VWAP,NO OF TRADES
11/01/2023,596.45,599.5,592.25,595.15,596.7,596.73,120446
10/01/2023,608.45,609.0,590.6,607.7,595.15,596.1,187602
09/01/2023,605.0,609.0,600.1,600.65,607.7,606.07,160223
06/01/2023,607.4,607.45,597.0,605.1,600.65,601.57,154179
05/01/2023,607.0,611.6,601.95,605.2,605.1,605.84,146571
04/01/2023,611.85,614.95,604.0,612.4,605.2,607.74,113548
03/01/2023,614.5,616.6,610.0,612.2,612.4,613.26,122799
02/01/2023,614.95,619.2,611.2,613.7,612.2,614.42,125418
30/12/2022,615.25,620.55,611.35,611.8,613.7,615.43,158347
29/12/2022,600.0,618.0,597.15,601.05,611.8,608.16,168187
28/12/2022,600.9,607.0,598.55,601.9,601.05,602.94,143945
27/12/2022,600.4,603.1,593.3,597.1,601.9,598.21,206219
26/12/2022,574.0,601.7,570.7,574.0,597.1,589.64,210003
23/12/2022,590.0,590.7,571.5,593.4,574.0,579.55,226901
22/12/2022,597.0,599.0,587.55,593.4,593.4,592.49,136417
21/12/2022,605.9,609.15,589.6,604.45,593.4,599.66,145768
20/12/2022,603.0,606.5,599.55,604.45,604.45,602.65,128701
19/12/2022,604.0,609.5,603.0,603.35,604.45,605.78,149442
16/12/2022,612.0,615.6,602.1,615.95,603.35,607.83,160875
15/12/2022,625.55,629.55,614.3,625.5,615.95,621.92,148853
14/12/2022,618.5,626.75,617.5,616.75,625.5,623.52,187174
13/12/2022,613.5,617.4,612.5,613.05,616.75,615.45,162670
12/12/2022,614.8,618.7,611.0,616.5,613.05,613.74,135955
09/12/2022,614.4,618.0,609.1,611.65,616.5,613.84,169991
08/12/2022,609.75,613.8,607.15,607.05,611.65,611.14,146277
07/12/2022,610.85,612.9,604.5,608.95,607.05,607.96,113416
06/12/2022,614.75,619.8,607.8,617.3,608.95,613.29,190699
05/12/2022,608.5,618.0,607.55,607.55,617.3,614.05,210728
02/12/2022,607.5,609.6,604.25,608.1,607.55,607.29,142901
01/12/2022,607.85,609.8,601.55,602.45,608.1,605.68,172004
30/11/2022,608.5,611.4,598.4,608.55,602.45,603.09,174362
29/11/2022,607.1,611.8,607.1,608.6,608.55,609.32,121735
28/11/2022,605.6,610.9,602.35,607.4,608.6,606.01,121851
25/11/2022,610.55,613.7,606.25,609.35,607.4,609.3,136359
24/11/2022,609.75,611.3,605.8,607.65,609.35,608.75,128229
23/11/2022,601.55,609.6,601.0,599.1,607.65,606.5,171897
22/11/2022,598.15,600.7,596.15,598.1,599.1,598.56,126028
21/11/2022,602.1,602.1,595.35,602.7,598.1,598.39,135865
18/11/2022,601.0,605.75,597.15,599.05,602.7,601.12,155935
17/11/2022,599.1,602.75,596.15,599.75,599.05,599.41,114824
16/11/2022,599.95,603.5,596.0,600.85,599.75,600.52,168811
15/11/2022,594.3,602.1,592.65,592.55,600.85,597.7,153811
14/11/2022,603.95,603.95,591.65,601.3,592.55,596.08,227415
11/11/2022,617.25,619.55,598.5,605.75,601.3,605.28,220631
10/11/2022,613.1,615.1,602.2,615.55,605.75,607.23,232699
09/11/2022,621.0,621.0,610.55,614.15,615.55,615.08,302328
07/11/2022,613.0,622.7,607.7,593.95,614.15,615.56,470162
04/11/2022,586.0,596.95,580.4,584.9,593.95,587.64,302456
03/11/2022,569.0,587.95,568.0,573.85,584.9,581.58,244825
02/11/2022,575.9,578.95,569.9,576.9,573.85,574.79,142730
01/11/2022,576.35,585.75,574.6,573.8,576.9,579.85,163499
31/10/2022,574.95,577.45,568.4,570.75,573.8,572.79,139535
28/10/2022,579.95,582.65,567.0,579.65,570.75,572.65,144061
27/10/2022,583.95,585.0,577.6,578.55,579.65,580.71,209377
25/10/2022,572.5,586.2,568.0,570.5,578.55,578.28,215376
24/10/2022,567.0,572.5,565.9,560.85,570.5,569.46,63147
21/10/2022,557.25,565.8,557.25,555.4,560.85,562.7,198859
20/10/2022,552.0,556.8,545.3,553.4,555.4,551.98,134915
